source_type,source_id,mentioned_user_id
news,1369015794248671233,45851500
news,1368788336333176833,1026870945372229632
news,1363915655720939521,14115912
news,1359943267148845058,824591297465946112
news,1369573389845880832,16258699
news,1368777274506571779,23707663
news,1368777274506571779,794255997346816002
news,1362196066431627265,115346464
news,1362196066431627265,28221296
news,1364697022847209478,955647765408722945
news,1364697022847209478,574795929
news,1364697022847209478,1217858534387224579
news,1364697022847209478,1905202880
news,1368760443498532864,1081348598032404480
news,1367497561645457427,4860147909
news,1367497561645457427,2371991585
news,1367497561645457427,105297123
news,1367496989215248388,1171155332917321730
news,1367556352445321216,176895950
news,1362475510954156037,988142198939152384
news,1365407006253801474,3152470214
news,1217122703766970369,1378000488
news,1217122703766970369,15635604
news,1368978816849211392,22179997
news,1367222811727564800,53297035
news,1367222811727564800,15846407
news,1367222811727564800,33041426
news,1369040595310682112,97512759
news,1366217334658977797,1872835056
news,1300100975793901569,22821175
news,1339526270288322561,1317315158184726529
news,1340651032817315842,629481871
news,1369043306487767040,122061017
news,1361812978425753600,89090040
news,1367128088832745476,56783491
news,1367128088832745476,1645711686
news,1367128088832745476,223546666
news,1369259204725387266,4473479067
news,1369410355215142917,15519766
news,1368641210533830657,192947735
news,1368641210533830657,14879097
news,1369034842222985216,233388393
news,1369034842222985216,271244383
news,1369034842222985216,997653208171364352
news,1369034842222985216,1339692567097724934
news,1369034842222985216,1366997919006658561
news,1369017812165881859,191184478
news,1369017812165881859,2470556070
news,1369017812165881859,2367911
news,1369017812165881859,231183280
news,1367604109113655297,71708907
news,1367604109113655297,1347045366487805952
news,1367604109113655297,1436518700
news,1367912923641737216,89090040
news,1321088619814109184,1306686397999390724
news,1321088619814109184,2163950214
news,1311068940152401920,46116615
news,1349391558269923330,2367911
news,1354509947288088576,309870370
news,1354509947288088576,17093876
news,1369308139158446081,1341926498224263168
news,1326957720759541761,290097288
news,1346517996760666117,949096064
news,1346517996760666117,16832387
news,1346517996760666117,42883885
