DiversityScore,SentimentScore,SocialCapitalScore,ReplyCount,RecencyScore,AuthorId,Domains,QuoteCount,RetweetCount,Tokens,Entities,EngagementScore,Urls,ContextScore,LikeCount,ImpressionCount,Id,CreatedAt,Hashtags,Mentions
1,-0.22070136666297913,66.72347177693999,23,0.5596342503428298,16973333,{'Notícias'},11,10,"{'bezos', 'jeff', '2030', 'multifariousness', 'expend', 'climate', 'along', 'aside'}",{'Do Mundo'},99,{'https://t.co/fur4kbcxiw'},0.22692348402067333,55,0,1369578871478235143,2021-03-10T09:20:23.0000000+00:00,,
1,-0.12167084217071533,67.7146954398071,4,0.5596256687275353,28785486,{'Notícias'},0,26,"{'defendant', 'remuneration'}",{'Do Mundo'},91,{'https://t.co/ogo53o23uw'},0,61,0,1369382859534897161,2021-03-09T20:21:30.0000000+00:00,,
0.8333333333333334,-0.21434152126312256,44.76983875993999,6,0.5596584041995364,28785486,{'Notícias'},0,10,"{'among', 'population', 'inoculation', 'substantiate', 'annunciate'}",{'Do Mundo'},63,{'https://t.co/qmhxkrz7gc'},0.1616223411205797,47,0,1370128693662785544,2021-03-11T21:45:10.0000000+00:00,,
1,-0.22067633271217346,167.4408247074973,68,0.559610528484776,1367531,{'Notícias'},11,25,"{'police', 'necessitate', 'along', 'soundbox', 'workplace', 'muliebrity'}",{'Do Mundo'},266,{'https://t.co/kdxttaz5rf'},0.20956792118646775,162,0,1369037711324119046,2021-03-08T21:30:00.0000000+00:00,,
1,-0.15535399317741394,45.88890466380583,5,0.5596208120921112,5988062,{'Notícias'},2,18,"{'necessitate', 'substantiate', 'endorsement', 'prognosticate'}",{'Do Mundo'},58,{'https://t.co/xmew1oftbp'},0,33,0,1369271770960850949,2021-03-09T13:00:04.0000000+00:00,,{'869308903'}
0.9230769230769231,-0.16989687085151672,458.36584464683483,12,0.5596313007577396,14173315,{'Notícias'},10,103,"{'anyone', 'scarcely', 'sixteen', 'gov', 'prerequisite', 'experience', 'become', 'eligibility', 'hypothecate', 'dunleavy', 'vaccinum', 'workplace'}",{'Do Mundo'},702,{'https://t.co/3dvmdfkk4u'},0.1265911712473686,577,0,1369511733975515142,2021-03-10T04:53:36.0000000+00:00,,
0.9444444444444444,0.031140297651290894,12.338907803817056,1,0.5593392748879188,621583,{'Notícias'},1,0,"{'hither', 'efficiency', 'belatedly', 'nvidia', 'excavation', 'merely', 'betray', 'ethereum', 'indicate', 'mine', 'deliberately', 'hypothecate', 'substantiate', 'foreshorten', 'waggle', 'aside', 'testament'}",{'Tecnologia'},4,,0.11533725896302117,2,0,1362776603047165957,2021-02-19T14:50:35.0000000+00:00,,"{'2464301418', '6269352', '266908809', '172724148'}"
0.875,-0.1492411196231842,59.31757780298455,7,0.5596109969125626,14293310,{'Notícias'},4,14,"{'straightaway', 'newfangled', 'sympathize', 'mightiness', 'whether', 'undecipherable', 'beyond', 'substantiate', 'equivalence', 'corresponding', 'protestation', 'aside', 'merely', 'testament'}",{'Do Mundo'},76,{'https://t.co/0adkrcfarw'},0.12284349071032663,51,0,1369048387815899139,2021-03-08T22:12:26.0000000+00:00,,{'23984477'}
1,-0.17646434903144836,68.27421887288567,0,0.5596244744606392,807095,{'Notícias'},0,13,"{'subsister', 'sympathize', 'approximately', 'adolescent', 'accomplishment', 'subspecies'}",{'Do Mundo'},101,{'https://t.co/siosoypcc4'},0,88,0,1369355243406954501,2021-03-09T18:31:46.0000000+00:00,,
1,-0.13897722959518433,746.777897503588,13,0.5593091565721834,11856342,{'Notícias'},18,125,"{'straightaway', 'testament', 'weekend', 'experience', 'conferrer', 'kamara', 'substantiate', 'subspecies'}",{'Esportes'},1200,{'https://t.co/ntkb3rygnf'},0.1783512149021876,1044,0,1362074171832958980,2021-02-17T16:19:23.0000000+00:00,,"{'1343659229106876416', '560350106', '20847350', '39814938', '1652035698', '49153854'}"
0.9333333333333333,-0.12570694088935852,44.246354291937415,6,0.5596358096649898,25562270,{'Notícias'},1,12,"{'testament', 'preponderating', 'boastfully', 'industriousness', 'google', 'along', 'administration', 'approximately', 'progressively', 'facebook', 'corresponding', 'antimonopoly', 'Friday', 'attestator'}",{'Tecnologia'},50,"{'https://t.co/vlcmridgsp', 'https://t.co/9dkhqgevle'}",0.12942694105796468,31,0,1369614175048249346,2021-03-10T11:40:40.0000000+00:00,,
0.9090909090909091,-0.079100102186203,157.64476787632887,1,0.5592027821298808,11856342,{'Notícias'},0,12,"{'pillow', 'pennywhistle', 'aboveboard', 'non', 'subsequently', 'territory', 'approximately', 'substantiate', 'wrongfulness', 'along'}",{'Esportes'},259,,0,246,0,1359577321695547392,2021-02-10T18:57:47.0000000+00:00,,"{'14593090', '32817728'}"
1,-0.1003587543964386,265.2285514824327,0,0.5593096512604333,11856342,{'Notícias'},1,18,"{'retweet', 'lilliputian', 'springiness', 'tappy'}",{'Esportes'},450,{'https://t.co/bzvqx5tpfr'},0.20624849260837566,431,0,1362085735063572482,2021-02-17T17:05:20.0000000+00:00,,"{'316756361', '27445405'}"
1,-0.147245854139328,19.027150414337598,1,0.5596217010628798,46403451,{'Notícias'},2,2,"{'hither', 'substantiate', 'hebdomadally'}",{'Esportes'},27,{'https://t.co/whoqkypzgi'},0,22,0,1369292125641269258,2021-03-09T14:20:57.0000000+00:00,,"{'107136246', '108957853', '19939667', '20374935'}"
1,-0.15681546926498413,6.155923256917273,0,0.559628951034775,1344951,{'Notícias'},0,0,"{'twelvemonth', 'corresponding', 'experience', 'precisely'}",{'Tecnologia'},4,"{'https://t.co/l9fuptkwgd', 'https://t.co/iacexuripk'}",0,4,0,1369458171467591683,2021-03-10T01:20:46.0000000+00:00,,
1,-0.13992953300476074,839.2875820812162,21,0.5594352697813502,11856342,{'Notícias'},45,185,"{'along', 'greenlit', 'deuce', 'gilmore'}",{'Esportes'},1309,{'https://t.co/ff91cfxq7d'},0.23998719708334812,1058,0,1365007905318133766,2021-02-25T18:36:59.0000000+00:00,,"{'279321785', '65414320', '316756361'}"
1,-0.1370042860507965,365.84754513985166,4,0.559279877059152,368276033,{'Notícias'},7,48,"{'unrecorded', 'newfangled', '7pm', 'verbalise', 'substantiate'}",{'Esportes'},599,{'https://t.co/22hrarchxu'},0.13926094236566725,540,0,1361388306106318857,2021-02-15T18:54:00.0000000+00:00,,"{'24871896', '516464106', '214413743'}"
1,-0.12985926866531372,731.1050423571209,23,0.5592932404381012,368276033,{'Notícias'},19,121,"{'improving', 'substantiate', 'calendar'}",{'Esportes'},1179,{'https://t.co/qwwnqkd8fg'},0.19338225720287702,1016,0,1361701236395958278,2021-02-16T15:37:28.0000000+00:00,"{'skyf1', 'f1'}","{'28297965', '16143542'}"
1,-0.14361348748207092,35.25009760390647,1,0.5595186894351898,11856342,{'Notícias'},2,11,"{'differentiate', 'representative', 'straightaway', 'muliebrity'}",{'Esportes'},46,{'https://t.co/zrooyjn9go'},0,32,0,1366932843067277314,2021-03-03T02:06:00.0000000+00:00,,"{'1228176728', '28665877', '1258091656093417472', '1638756846', '741696985'}"
1,-0.09443575143814087,61.06833869557613,4,0.5596102141573309,2557521,{'Notícias'},1,11,"{'receive', 'nba', 'karaoke', 'exceptional', 'deshaun', 'Monday', 'jeopardize', 'substantiate', 'Prescott', 'playoff'}",{'Esportes'},86,{'https://t.co/istw3u4ukz'},0.12791462153022978,70,0,1369030160943611907,2021-03-08T21:00:00.0000000+00:00,,"{'175580488', '16402282', '85375262'}"
1,-0.16638773679733276,1168.9142665658076,24,0.5595090182495226,368276033,{'Notícias'},9,155,"{'efflorescence', 'bathroom', 'twelvemonth', 'w12', 'unprecedented'}",{'Esportes'},1926,,0.17749041566340418,1738,0,1366709656974942211,2021-03-02T11:19:09.0000000+00:00,"{'skyf1', 'f1'}","{'213969309', '26235265'}"
0.9285714285714286,-0.18172085285186768,614.3989800029656,14,0.5594167973745271,368276033,{'Notícias'},15,73,"{'somersaulting', 'unrecorded', 'indycar', 'sportswoman', '2021', 'thoroughgoing', 'subsequently', 'since', 'cockpit', 'substantiate', 'along', 'f1', 'testament'}",{'Esportes'},1008,,0.3551466047919228,906,0,1364579317964034050,2021-02-24T14:13:56.0000000+00:00,"{'skyf1', 'indycar', 'bahraingp'}","{'21302878', '68674747'}"
1,-0.21067622303962708,181.39640651263113,83,0.5596282494843435,759251,{'Notícias'},9,38,"{'unrecorded', 'instructor', 'safely', 'exceptional', 'et', 'schoolhouse', 'cnn', 'many', 'substantiate', 'reopen', 'cursorily', 'Friday'}",{'Do Mundo'},272,{'https://t.co/zshsm3yckj'},0.13727790135513646,142,0,1369441382973272064,2021-03-10T00:14:03.0000000+00:00,,"{'14529929', '18170896'}"
