diversity_score,sentiment_score,reply_count,author_id,domains,quote_count,retweet_count,tokens,entities,urls,context_score,like_count,impression_count,item_id,created_at,hashtags,mentions,recency_score
1.0,-0.1803047358989715,0.000321427896159882,14173315,{'Notícias'},0.00017177998419624146,0.0004696417450253709,"{'syndrome', 'disablement', 'substantiate', 'corresponding', 'autism'}",{'Do Mundo'},{'https://t.co/hiuzgz7rkf'},0.1914539727961682,0.0001965503134520406,0.00028984998470838374,1369600439239458820,2021-03-10 10:46:05+00:00,,,0.9559583132942469
1.0,-0.1486797332763672,0.0024390705061543986,2557521,{'Notícias'},0.007317827326759886,0.015957609727709886,"{'lebron', 'shimmer', 'experience', 'steph', 'sufficiency', 'could'}",{'Esportes'},{'https://t.co/3jufitt6dm'},0.2359371306297459,0.01952590236020359,0.01131010248020694,1368785659066941440,2021-03-08 04:48:26+00:00,{'nbaallstar'},,0.8936044835047142
1.0,-0.1699835062026977,0.00037815046607044944,28785486,{'Notícias'},0.0,0.0002552400788181364,"{'Kansas', 'Carolinas', 'inoculation', 'hypothecate', 'proletarian', 'testament'}",{'Do Mundo'},{'https://t.co/8b5su9cb5w'},0.1549761967208895,0.00012341531309779293,0.00018920146449659468,1369579853612281860,2021-03-10 09:24:17+00:00,,,0.9543305883532358
1.0,-0.2108437418937683,0.00018907523303522472,87818409,{'Notícias'},6.871199367849658e-05,6.125761891635272e-05,"{'1981', 'substantiate', 'rioting', 'differentiate', 'aside'}",{'Do Mundo'},{'https://t.co/kpuno9oerl'},0.2400163965974335,2.2854687610702394e-05,8.54748833101941e-05,1369587331691208706,2021-03-10 09:54:00+00:00,,,0.9549215946958827
1.0,-0.1388311088085174,0.0021365501332980394,16973333,{'Notícias'},0.0006871199367849658,8.167682522180363e-05,"{'wharfage', 'advantageously', 'along', 'could'}",{'Do Mundo'},{'https://t.co/lo5jcjrrhg'},0.2363646161726315,2.0569218849632155e-05,0.0007314790285386103,1369601403686182915,2021-03-10 10:49:55+00:00,,,0.9560346602358577
0.8666666666666667,-0.1725291013717651,0.00011344513982113482,368276033,{'Notícias'},0.00024049197787473804,0.00027565928512358727,"{'mclaren', 'improving', '2021', 'tippytoe', 'vettel', 'competition', 'motivate', 'extremely', 'substantiate', 'zak', 'along', 'f1', 'sebastian'}",{'Esportes'},,0.2951444974578714,0.0006125056279668241,0.00031052550769657106,1364144723590578176,2021-02-23 09:27:01+00:00,"{'skyf1', 'f1'}",,0.6085427012272026
1.0,-0.2085326611995697,0.034676397738660214,28785486,{'Notícias'},0.011681038925344419,0.004839351894391866,"{'terminated', 'predecessor', 'twelvemonth', 'biden', 'fifteen', 'whatsoever', 'pres', 'without', 'foresightful', 'newsperson'}",{'Do Mundo'},{'https://t.co/1bc0o0tfnq'},0.173784630647107,0.001795235711820673,0.013248006067554292,1369985018878169089,2021-03-11 12:14:16+00:00,,,0.9868829685817802
1.0,-0.2046608924865722,0.0002836128495528371,28785486,{'Notícias'},0.0007214759336242141,0.0010209603152725455,"{'unrecorded', 'vaccinate', 'substantiate', 'piñata', 'celebrate', 'smashingly'}",{'Do Mundo'},"{'https://t.co/40dyf6a9tz', 'https://t.co/zj68hyrscw'}",0.1647758653557618,0.0006559295344271588,0.0006704946582191889,1370003953598013450,2021-03-11 13:29:30+00:00,,,0.9884309834001589
1.0,-0.1864847540855407,5.672256991056741e-05,16973333,{'Notícias'},6.871199367849658e-05,5.104801576362727e-05,"{'inheritress', 'acclaim', 'netflix', 'hypothecate'}",{'Do Mundo'},{'https://t.co/n877zcuvwf'},0.1868152890333796,1.4855546946956556e-05,4.783453157491195e-05,1369610663547518978,2021-03-10 11:26:42+00:00,,,0.9567675689708001
1.0,-0.1596662402153015,0.00022689027964226965,5988062,{'Notícias'},0.00017177998419624146,0.00022461126935996,"{'straightaway', 'budget', 'twelvemonth', 'endorsement', '12bn', 'aside'}",{'Do Mundo'},{'https://t.co/synr0dvxb7'},0.1936301119622487,7.656320349585301e-05,0.00017496118417358102,1369471231448158208,2021-03-10 02:12:39+00:00,,,0.9457873724931962
